CORREGIMIENTO,REGION,Image URL,Sem 11,Sem 12,Sem 13,Sem 14,Sem 15,Sem 16,Sem 17,Sem 18,Sem 19,Sem 20,Sem 21,Sem 22,Sem 23,Sem 24,Sem 25,Sem 26,Sem 27,Sem 28,Sem 29
24 DE DICIEMBRE,METROPOLITANA,,0,0.9,15.1,37.8,85.1,135.2,195.8,233.6,270.5,317.8,348,442.6,562.7,686.6,871,1043.1,1252.2,1467.8,1693.8
ACHIOTE,COLON,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.2,117.2
AGUA FRIA,DARIEN,,0,0,0,0,0,34.8,34.8,34.8,69.6,69.6,69.6,69.6,69.6,69.6,139.1,173.9,347.8,382.6,452.2
AGUADULCE,COCLE,,0,0,19,38.1,38.1,38.1,57.1,57.1,66.7,76.2,76.2,76.2,114.3,123.8,152.4,238.1,295.2,361.9,523.8
AILIGANDI,GUNA YALA,,0,0,6.1,18.4,67.3,110.2,306.1,575.5,612.2,618.3,618.3,618.3,618.3,618.3,618.3,618.3,618.3,618.3,624.5
ALANJE,CHIRIQUI,,0,0,0,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,137.7,137.7,378.7,550.8,585.2,963.9,1445.8
ALCALDE DIAZ,PANAMA NORTE,,1.5,7.6,29.1,62.7,111.6,149.8,168.2,195.7,208,233.9,250.8,315,420.5,558.1,749.2,915.9,1253.8,1536.7,1770.7
ALMIRANTE,BOCAS DEL TORO,,0,0,0,0,0,0,18.2,18.2,18.2,36.3,36.3,54.5,72.7,163.5,436,599.6,872.1,1508,1998.5
ALTO BOQUETE,CHIRIQUI,,0,0,27,27,27,67.6,189.3,189.3,189.3,189.3,189.3,189.3,189.3,189.3,189.3,189.3,243.4,378.6,486.8
ALTO CABALLERO,NGOBE BUGLE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,68.4,102.7,136.9
AMADOR,PANAMA OESTE,,0,0,28.6,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,142.8,142.8,199.9,228.5,428.4,485.6,571.3,599.8
AMELIA DENIS DE ICAZA,SAN MIGUELITO,,2.3,9.1,49.9,68.1,118,136.2,165.7,211.1,261,311,358.6,438.1,624.2,792.2,1010.1,1259.8,1598,1884,2160.9
ANCON,METROPOLITANA,,5.8,21.3,48.5,79.5,178.3,226.7,288.8,341.1,387.6,424.4,463.2,515.5,573.7,643.4,707.4,827.5,969,1067.9,1184.1
ANTON,COCLE,,0,0,0,0,0,0,0,0,9.8,19.7,59,59,59,59,78.7,78.7,108.2,186.8,226.2
